CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11100,"Amarillo, TX (Metropolitan Statistical Area)",1.9,1.5,1.2,0.6,4.6,2.9,1.0,-0.3,4.0,0.9,-0.5,2.6,2.7,3.5,-1.4,-1.2,3.0,2.6,0.5,4.0,0.0,3.9
11180,"Ames, IA (Metropolitan Statistical Area)",4.0,5.2,4.0,2.5,2.3,2.3,3.3,-1.4,1.2,3.4,2.9,6.2,2.5,0.5,-1.8,2.9,1.8,1.3,-2.4,6.8,0.5,-0.2
11260,"Anchorage, AK (Metropolitan Statistical Area)",1.6,2.5,2.6,4.4,-0.5,1.9,4.9,4.7,4.6,1.1,0.6,-1.7,0.3,4.3,1.2,-1.5,0.7,-0.3,-2.6,2.6,1.4,3.7
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",6.2,2.5,-0.9,2.8,-0.6,2.3,-6.1,-7.5,3.8,0.9,2.9,1.1,1.7,3.7,2.2,3.3,2.5,4.0,-2.5,5.2,2.6,2.9
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2.9,4.0,8.2,5.6,0.0,2.9,1.5,-5.5,4.4,-5.2,0.1,-2.6,-3.7,-1.0,1.3,1.0,2.3,5.2,-2.5,5.6,-2.4,3.7
11540,"Appleton, WI (Metropolitan Statistical Area)",0.3,3.3,3.2,2.4,2.0,0.9,-1.2,-3.4,2.5,3.3,4.1,-0.8,4.3,5.2,2.9,1.9,3.1,2.2,-4.5,2.9,1.1,0.9
11700,"Asheville, NC (Metropolitan Statistical Area)",3.0,2.2,3.2,3.4,3.4,-1.5,1.4,-4.2,4.7,1.4,-1.4,2.9,3.8,1.9,3.5,4.7,3.4,3.9,-5.3,6.9,3.5,3.0
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1.0,5.0,3.0,1.7,0.3,1.6,0.4,-0.3,0.1,-0.6,4.6,1.8,2.4,4.3,2.2,5.7,3.5,-0.7,-4.3,5.7,4.5,1.5
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1.0,3.0,5.7,5.0,1.8,1.1,-2.8,-4.7,2.0,2.4,2.0,3.0,4.6,5.3,5.3,4.8,3.7,4.0,-3.0,6.7,3.9,2.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2.4,1.2,0.8,3.7,4.6,0.7,0.6,-12.8,-2.3,2.8,-1.9,0.3,-0.8,-2.1,-3.2,-2.4,0.7,1.5,-5.7,8.5,3.0,3.2
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",5.3,6.7,11.7,4.9,3.1,3.3,2.4,-1.9,3.5,6.8,5.2,1.3,1.4,4.3,3.2,4.1,-0.4,3.9,-2.3,6.3,0.3,5.7
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1.1,3.8,2.2,0.4,-0.7,4.5,1.5,-1.5,2.5,1.8,0.2,0.6,0.7,4.0,1.7,1.1,1.6,1.9,-0.6,2.6,1.1,1.7
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3.3,3.3,5.4,8.4,12.1,4.8,4.5,-2.3,6.5,4.7,1.8,6.0,5.7,7.7,4.2,4.5,5.8,6.5,2.8,10.7,9.6,4.5
12540,"Bakersfield, CA (Metropolitan Statistical Area)",12.6,-1.0,8.3,6.6,13.4,9.6,-2.9,6.6,-4.4,-1.7,9.5,-2.2,0.2,1.1,0.4,0.6,0.2,3.5,0.4,1.7,-3.8,5.2
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2.6,1.7,3.6,4.8,2.1,0.7,0.9,-0.6,4.1,1.8,1.3,2.0,1.6,2.0,3.4,2.1,1.0,0.6,-3.4,5.1,2.6,1.6
12620,"Bangor, ME (Metropolitan Statistical Area)",2.6,0.0,3.2,1.9,-1.2,0.2,-2.0,0.0,0.2,-2.1,-1.7,0.1,0.0,0.8,2.1,0.0,3.8,2.9,-0.3,3.5,1.8,1.4
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1.2,0.9,2.7,-1.2,-4.2,1.2,2.6,-4.1,2.8,2.0,-0.6,1.2,2.5,1.0,0.3,-2.3,2.2,3.3,-5.6,7.4,3.8,2.2
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",7.0,4.5,10.9,10.1,-2.2,-8.1,-2.0,1.0,5.7,10.5,0.4,0.1,9.5,-1.2,-3.4,-5.2,6.5,-2.5,-7.8,3.3,3.1,2.8
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1.8,1.6,2.6,2.4,0.9,0.6,-3.0,-7.7,2.9,-2.7,-0.3,2.7,0.9,2.9,2.2,-0.1,0.3,-0.3,-1.6,8.0,4.0,0.9
13020,"Bay City, MI (Metropolitan Statistical Area)",0.3,1.6,0.3,1.3,-0.3,-0.1,-3.7,-1.0,3.5,0.0,0.0,0.7,-4.7,-0.3,0.2,-4.1,2.6,-1.7,-0.7,9.1,-1.4,-4.8
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",-4.4,2.5,19.3,-10.0,-1.5,8.6,-3.7,-1.1,8.5,1.9,5.2,0.1,-17.8,-1.1,2.7,1.9,4.9,-0.8,-14.0,1.6,0.0,6.5
13220,"Beckley, WV (Metropolitan Statistical Area)",1.2,-1.0,2.9,5.0,0.3,1.0,5.5,-2.6,3.7,2.4,-2.4,-3.9,-4.8,-3.4,-4.9,4.5,1.9,3.2,-6.4,2.7,4.3,2.7
13380,"Bellingham, WA (Metropolitan Statistical Area)",6.5,1.9,0.8,24.1,-9.9,2.2,-1.5,3.2,4.7,-7.3,0.0,-0.4,1.2,3.5,6.6,5.0,7.8,8.9,3.0,4.4,-1.4,5.7
13460,"Bend, OR (Metropolitan Statistical Area)",4.3,5.5,4.8,9.1,6.9,3.5,-2.5,-8.5,-3.2,1.3,2.7,6.9,10.3,7.9,9.7,9.4,3.8,5.7,-0.3,10.5,3.8,4.1
13740,"Billings, MT (Metropolitan Statistical Area)",1.3,7.9,5.3,-0.3,3.6,10.4,-4.0,-7.2,4.5,5.4,1.7,2.4,5.4,4.6,-5.8,7.2,0.6,-2.4,-2.3,7.3,0.1,3.5
13780,"Binghamton, NY (Metropolitan Statistical Area)",-0.3,0.3,0.7,1.3,4.5,4.0,6.6,0.2,5.0,0.0,0.6,-0.3,-0.8,-0.1,-2.6,1.2,0.2,0.7,-4.9,2.2,-1.3,0.6
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3.4,1.9,5.0,3.2,-0.7,1.4,0.2,-4.7,1.1,1.9,2.3,-0.1,0.1,2.1,1.3,1.9,2.0,1.7,-1.2,5.5,1.7,1.6
13900,"Bismarck, ND (Metropolitan Statistical Area)",2.3,7.6,4.3,2.2,2.4,0.9,3.2,2.9,2.7,5.6,13.8,1.9,8.7,3.4,-4.2,-0.6,-1.8,-0.5,-3.8,3.9,-2.1,1.7
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",0.8,5.6,0.1,6.2,3.3,3.5,-6.4,-6.2,1.7,3.4,-1.4,1.2,0.1,3.4,0.1,2.9,5.0,-1.0,-2.5,8.7,4.0,3.7
14010,"Bloomington, IL (Metropolitan Statistical Area)",2.7,3.4,3.9,1.1,7.8,-0.4,-2.8,1.4,3.9,0.3,2.3,-0.1,11.6,7.4,3.9,-0.8,0.4,3.1,-17.4,-0.9,1.1,-0.2
14020,"Bloomington, IN (Metropolitan Statistical Area)",3.0,3.7,3.4,4.8,3.1,-1.9,0.2,-0.6,1.8,0.8,-0.2,2.1,5.5,-1.2,2.7,6.2,3.6,-1.2,-3.8,3.1,3.9,1.3
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",5.3,0.4,4.6,1.7,4.9,-0.3,1.7,-0.3,4.9,1.4,-0.4,3.3,-3.4,1.9,-0.4,0.8,-0.4,2.4,-5.0,4.6,3.8,1.0
14260,"Boise City, ID (Metropolitan Statistical Area)",2.9,6.8,8.9,10.1,0.0,0.8,4.4,-3.0,1.5,0.2,-2.2,4.9,4.5,1.6,4.2,5.5,7.8,4.7,1.6,9.1,7.5,2.9
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",-0.3,2.4,3.4,2.7,2.9,3.7,1.2,-0.8,5.1,2.2,2.7,0.8,2.1,4.0,1.7,2.3,4.0,3.6,-0.9,7.0,2.4,1.5
14500,"Boulder, CO (Metropolitan Statistical Area) *",-6.3,1.7,3.1,2.5,2.8,6.8,4.1,-1.8,2.7,1.0,0.6,3.6,3.3,3.9,3.5,4.9,3.7,9.0,-1.9,7.5,1.9,3.4
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3.5,4.5,4.9,6.1,5.1,0.1,1.1,-7.5,10.2,-2.0,4.3,2.5,1.8,0.7,2.4,3.5,-0.7,8.4,2.2,11.1,3.4,5.9
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",5.4,1.9,4.7,4.2,-0.2,0.9,4.7,-2.1,0.2,-0.4,-1.2,-0.5,0.6,3.3,5.1,0.4,2.4,1.0,3.0,2.9,4.1,2.8
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",0.0,-0.4,5.5,3.0,4.0,3.4,1.9,-4.1,-1.8,-5.1,3.3,-3.3,0.8,1.1,-2.1,2.0,-1.0,-1.9,-5.0,4.2,5.7,3.7
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",4.8,1.9,1.5,2.6,4.6,-0.1,0.8,-0.2,4.7,3.0,1.1,2.1,0.4,0.2,2.1,-0.9,2.0,3.1,-3.1,6.9,5.2,1.9
15260,"Brunswick, GA (Metropolitan Statistical Area)",2.3,4.6,7.3,2.4,4.4,-0.6,-4.0,-1.6,1.8,-2.7,-2.1,0.6,0.2,5.0,-1.2,2.3,3.6,-2.1,-2.3,7.1,3.7,1.1
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2.2,1.4,2.7,-0.2,2.2,1.2,0.8,0.7,3.0,-0.6,2.3,0.3,2.7,1.8,1.0,-0.7,1.0,2.3,-1.7,3.9,1.4,2.8
15500,"Burlington, NC (Metropolitan Statistical Area)",5.5,0.2,5.2,1.3,3.3,-1.2,-0.9,-7.6,4.6,2.0,-0.4,4.1,2.1,-0.3,4.2,-1.6,0.6,2.6,0.3,6.4,-0.1,2.7
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3.3,7.2,7.0,0.8,1.6,-1.4,5.9,-1.1,4.4,3.2,0.9,-0.6,1.5,0.6,2.2,2.4,1.7,2.1,-4.0,6.3,3.7,1.9
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",6.7,5.8,4.4,2.9,3.3,3.3,1.7,2.9,8.2,5.2,0.3,-0.5,1.5,2.6,3.0,2.5,0.5,1.9,4.7,0.3,0.1,3.6
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1.9,0.7,1.8,1.7,-3.5,-1.1,-0.7,-6.2,5.4,6.8,-1.8,7.3,6.5,0.7,-1.5,0.8,-1.3,1.6,-5.6,6.6,0.1,4.8
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",8.3,10.4,13.7,9.2,7.4,0.5,-7.8,-9.2,-1.1,-0.7,2.2,2.6,5.0,6.1,7.5,0.6,4.1,2.4,-0.5,8.5,7.8,4.2
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3.3,1.5,4.6,4.6,1.2,2.1,2.1,-1.6,-1.0,-0.9,1.0,1.0,0.8,3.1,0.4,-1.0,2.2,0.2,-3.5,3.6,0.9,2.7
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",4.4,-0.3,0.8,4.0,1.5,-0.7,4.6,1.3,3.5,3.4,-1.0,-2.0,-1.2,0.5,-0.6,-0.1,2.7,-0.2,-4.4,1.9,3.9,1.8
16180,"Carson City, NV (Metropolitan Statistical Area)",1.1,1.5,2.8,0.8,3.5,2.3,0.4,-1.7,6.2,-6.6,0.1,-3.5,-4.6,0.5,-0.5,6.6,2.3,6.5,-5.0,2.8,2.6,3.5
16220,"Casper, WY (Metropolitan Statistical Area)",2.4,3.1,7.1,8.0,13.9,2.3,3.0,-7.0,5.4,6.0,12.6,4.2,8.3,-2.0,-9.6,-1.2,5.8,-3.6,-12.7,-2.0,4.6,6.7
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",-1.0,8.3,9.5,4.5,0.9,10.1,-0.4,2.0,6.3,3.6,-0.7,-1.3,4.4,4.0,3.1,0.1,1.8,-1.9,-1.8,6.7,-1.0,-0.9
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",-2.3,7.5,8.4,9.2,6.0,5.6,-0.6,-6.6,-0.1,0.3,-1.0,2.9,2.1,2.8,-2.4,7.9,1.5,-2.6,-4.8,3.5,2.5,0.8
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",5.0,0.1,2.1,0.2,2.0,2.3,3.9,-1.0,4.1,1.3,-0.1,5.0,2.2,0.3,-2.4,-0.8,-0.8,1.1,-1.7,3.8,2.9,3.3
16620,"Charleston, WV (Metropolitan Statistical Area)",0.3,0.5,-0.6,3.2,1.4,0.4,-0.5,0.3,-2.5,0.3,-3.7,-2.5,-1.7,-2.6,-1.0,-1.6,5.6,-4.7,-6.3,2.9,1.8,4.8
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",4.5,6.1,6.0,6.6,3.2,4.7,0.1,-3.4,4.9,4.9,5.7,0.2,2.8,4.7,5.6,2.0,4.0,4.8,-2.7,5.4,6.4,5.2
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2.7,4.2,6.1,7.7,7.1,1.8,7.4,-6.8,-3.0,5.3,6.0,-0.3,3.3,4.2,3.0,3.7,2.1,3.4,0.9,6.4,3.6,4.7
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",1.1,3.7,4.8,4.9,4.1,3.4,2.6,-0.5,5.7,0.8,1.1,0.5,1.1,3.0,1.4,5.5,2.0,0.3,-3.8,8.8,3.7,4.2
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",1.9,3.2,5.0,2.0,1.0,1.2,0.4,-3.6,2.4,3.2,3.6,2.3,-0.1,2.9,2.2,3.7,0.9,1.7,0.3,6.6,5.1,-0.1
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3.8,5.4,5.1,2.0,5.3,11.6,9.7,-13.6,1.3,3.8,2.6,-1.2,1.6,3.3,-2.4,1.0,5.5,4.6,-4.9,5.9,-0.5,7.9
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",0.4,1.6,3.2,2.5,2.4,1.7,-2.4,-3.5,1.9,1.9,2.9,0.9,2.3,2.4,0.8,1.4,2.5,0.9,-5.4,5.8,2.5,1.4
17020,"Chico, CA (Metropolitan Statistical Area)",7.2,4.4,1.5,2.6,3.6,-1.3,-2.1,1.9,0.5,-0.8,-1.7,2.4,-2.3,4.7,6.8,3.8,1.0,2.0,-5.8,2.5,-1.1,2.8
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2.5,2.3,1.7,2.6,0.2,0.8,0.4,-4.1,2.9,2.7,1.4,1.8,3.6,2.9,3.7,3.1,0.0,4.8,-1.8,4.3,1.0,1.7
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",8.2,3.2,8.3,9.6,5.0,-1.7,2.6,-0.4,4.3,5.3,0.5,-1.7,-1.2,0.5,-1.0,0.0,1.1,2.0,1.4,5.9,2.1,1.9
17420,"Cleveland, TN (Metropolitan Statistical Area)",4.8,1.0,6.7,0.4,-1.5,0.6,1.7,-1.7,4.6,1.1,11.6,2.4,-1.3,1.2,-3.2,0.4,0.9,0.2,3.4,6.5,2.8,-1.4
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",1.6,2.2,2.6,2.7,-0.5,0.3,0.2,-7.0,0.7,1.6,1.1,1.1,2.3,0.8,0.1,2.4,1.6,2.6,-3.6,5.5,2.1,0.6
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2.3,4.5,7.7,9.2,4.4,4.4,0.3,-7.4,5.1,-2.7,1.2,9.5,2.2,1.1,4.9,3.2,6.2,2.1,4.8,13.3,2.0,5.0
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",4.8,3.8,1.8,8.2,7.9,9.0,4.3,8.6,-4.8,-1.9,1.2,7.7,6.3,6.2,-0.3,1.7,4.3,4.5,-0.2,4.6,4.0,7.4
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",0.6,1.2,2.1,5.3,1.5,3.1,-0.3,0.2,2.7,2.7,0.7,2.1,0.9,1.1,2.0,4.2,3.3,4.2,2.9,5.8,1.7,4.4
17860,"Columbia, MO (Metropolitan Statistical Area)",1.8,3.3,3.7,2.7,1.2,-0.1,3.0,-0.8,2.3,1.7,2.9,3.9,0.4,2.1,0.4,2.4,0.6,4.0,-2.9,5.1,0.5,2.8
17900,"Columbia, SC (Metropolitan Statistical Area)",1.7,3.5,4.5,3.0,3.8,3.0,0.3,-2.8,1.0,0.2,-0.1,3.2,3.6,2.9,2.9,0.3,1.6,2.4,-1.0,5.6,2.0,3.4
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",2.7,-0.3,1.9,2.3,2.2,3.4,0.2,1.0,2.0,1.6,1.2,-1.4,-0.1,0.6,-1.1,1.3,0.2,2.0,-0.9,1.5,-2.3,2.6
18020,"Columbus, IN (Metropolitan Statistical Area)",-2.8,4.8,7.7,6.4,9.1,12.0,5.8,-18.3,21.8,2.8,9.7,5.3,-4.6,-3.4,-1.9,1.2,7.5,-0.9,-6.9,5.8,3.7,-1.1
18140,"Columbus, OH (Metropolitan Statistical Area)",1.8,2.4,3.9,3.6,0.1,1.5,-0.3,-3.3,2.9,3.4,4.1,3.7,3.6,2.1,2.1,4.4,1.2,3.2,-1.1,7.0,1.3,1.8
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",-0.7,3.8,7.1,-5.1,2.7,7.2,-4.5,-1.3,6.7,3.5,0.1,2.3,-5.7,-0.8,-2.7,2.8,3.3,3.8,-4.9,4.3,-2.4,6.8
18700,"Corvallis, OR (Metropolitan Statistical Area)",1.4,2.4,5.5,6.1,8.9,8.2,4.9,-2.1,3.3,3.8,-0.9,-4.1,-0.5,0.9,3.5,4.2,4.6,1.5,-1.6,4.4,3.7,3.5
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",8.0,8.7,11.0,6.9,0.0,-0.5,-4.8,-4.2,-1.2,0.8,5.4,2.9,1.6,2.6,4.2,3.1,4.2,6.4,2.4,9.8,4.1,3.1
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",0.9,-1.1,-0.4,-0.3,-0.8,-0.5,3.1,-0.1,6.9,-0.4,-0.6,-2.0,0.0,1.2,4.7,-1.9,1.7,0.5,-4.4,0.8,-3.0,-2.8
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",2.9,1.7,5.9,5.1,7.5,4.0,1.0,-2.9,2.3,3.9,3.3,3.7,3.8,4.8,2.3,3.6,4.6,3.9,-1.1,8.1,5.8,3.2
19140,"Dalton, GA (Metropolitan Statistical Area)",4.5,1.5,12.5,4.6,-1.2,0.0,-4.8,-9.5,-3.9,1.5,3.6,-0.4,3.0,3.1,3.7,-1.3,-0.6,0.4,-3.1,7.7,3.9,0.3
19180,"Danville, IL (Metropolitan Statistical Area)",3.5,3.0,4.1,-1.5,4.0,-0.3,0.0,-5.3,-0.1,1.4,2.0,0.9,-1.2,-1.8,-1.5,0.0,0.2,-0.4,-4.5,4.9,2.5,-0.7
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",5.1,6.1,10.0,11.0,2.8,2.9,-3.4,-4.9,1.5,-1.4,1.1,5.3,2.2,4.7,5.3,3.8,5.1,5.0,-0.4,7.4,5.0,3.2
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",-0.7,3.1,6.0,2.5,0.3,1.5,2.5,-4.2,3.7,3.8,3.3,-2.6,0.4,-1.4,-0.7,1.0,-0.7,0.8,-2.4,2.8,1.6,2.1
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",2.7,2.3,2.7,1.0,-0.6,-2.0,-2.0,-5.7,2.5,2.7,-0.4,1.0,1.3,1.3,1.4,3.9,1.5,3.1,-1.3,4.0,0.6,2.3
19460,"Decatur, AL (Metropolitan Statistical Area)",-1.2,8.3,12.8,-6.1,1.2,3.5,-2.9,-1.8,1.6,-4.2,0.5,0.9,1.1,-1.4,1.7,2.0,2.1,-0.3,1.9,4.0,4.7,2.4
19500,"Decatur, IL (Metropolitan Statistical Area)",0.0,1.3,3.2,1.9,1.4,2.3,4.8,-0.1,1.5,2.3,-1.6,9.1,3.8,3.1,-6.5,-10.1,-2.8,-4.2,-2.7,9.6,2.0,-0.3
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",8.1,8.4,9.4,3.0,3.2,2.1,-5.2,-6.9,0.0,-1.0,2.1,0.6,3.1,2.5,4.3,2.7,2.9,2.9,0.7,6.0,6.3,4.9
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",0.3,0.2,0.8,4.4,1.7,4.5,-0.4,-3.1,2.4,2.0,3.0,4.7,4.5,5.3,2.2,3.8,4.4,5.3,0.1,7.3,4.7,3.5
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",1.1,8.6,9.6,7.6,-1.0,10.7,-9.7,-1.2,1.9,0.6,6.3,-2.1,12.6,8.5,3.8,-1.3,0.2,4.3,2.6,9.3,-1.5,1.0
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",2.2,2.8,1.4,1.8,-3.3,-0.7,-6.8,-10.8,6.9,4.4,3.6,2.5,1.4,1.7,1.9,0.9,2.1,0.4,-4.9,5.6,3.0,1.8
20020,"Dothan, AL (Metropolitan Statistical Area)",4.6,1.6,3.4,2.1,1.6,0.1,-2.7,-3.3,0.1,-0.3,1.6,4.8,1.7,2.5,5.0,1.7,0.8,2.3,1.0,3.8,-0.3,2.7
20100,"Dover, DE (Metropolitan Statistical Area)",2.3,3.0,11.3,0.2,2.4,2.7,-3.6,6.0,-2.5,1.0,-6.5,0.1,2.5,2.4,2.0,0.7,2.4,7.4,-5.1,4.3,2.7,-1.3
20220,"Dubuque, IA (Metropolitan Statistical Area)",4.5,4.9,11.2,6.9,2.6,4.9,-4.2,-6.2,8.3,-0.3,14.1,-5.4,8.9,1.9,-2.8,4.7,-0.2,4.0,-0.6,2.4,3.0,0.8
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",3.6,1.5,5.4,1.4,-1.4,-2.3,3.1,-5.3,11.4,3.3,-4.5,3.2,-0.9,-8.8,2.7,-0.7,2.3,2.1,-5.7,3.9,1.5,4.2
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",4.9,6.0,2.0,6.9,22.4,7.9,3.7,-7.3,8.5,-1.8,1.7,1.5,-1.9,-1.7,-0.7,-0.5,4.9,2.8,2.8,7.0,3.4,3.5
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",3.3,2.2,8.3,7.3,5.1,6.2,1.1,-3.1,1.6,-1.5,-2.3,1.4,0.8,4.1,1.5,5.0,0.9,-0.5,-10.0,5.6,-1.0,3.3
20740,"Eau Claire, WI (Metropolitan Statistical Area)",4.9,4.7,5.1,7.1,1.6,3.3,-2.4,-1.0,5.8,2.6,3.8,0.3,8.1,2.5,-0.5,1.7,2.2,2.0,-5.5,3.6,1.9,1.5
20940,"El Centro, CA (Metropolitan Statistical Area)",21.3,-7.0,-3.8,9.2,7.1,-3.5,17.0,-4.1,-0.7,3.9,-5.6,5.2,5.8,9.1,1.9,-2.2,-0.5,4.5,4.8,-4.1,7.0,16.4
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",1.0,3.6,3.9,2.7,3.4,0.8,5.9,-1.1,11.9,5.6,-4.2,-1.2,-3.1,-4.5,2.1,1.9,-1.0,2.8,-1.7,6.6,2.7,1.8
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",8.6,10.2,6.7,7.8,6.8,0.6,-13.0,-26.4,33.6,-1.5,2.5,9.4,8.7,8.3,9.1,11.0,1.0,-3.2,-2.5,23.3,4.3,-9.3
21300,"Elmira, NY (Metropolitan Statistical Area)",0.2,1.7,2.9,1.9,-1.1,2.8,5.8,-0.6,3.6,2.4,0.3,0.7,0.0,-3.3,-2.4,-2.6,1.4,-0.7,-4.9,3.1,-0.7,0.1
